category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Handle infinite scroll with keyboard fallback,Provide a Load More button alongside auto-load,<button onClick={loadMore}>Load more results</button>,Auto-load content with no manual trigger or focus control,window.onscroll = () => { autoLoad(); };,HIGH
Navigation,Preserve back button behavior in SPAs,Use history.pushState for SPA navigation,"history.pushState({}, '', '/new-page');",Replace history entries breaking the back button,"history.replaceState({}, '', '/new-page');",HIGH
Navigation,Support deep linking to page sections,Use defined IDs that match URL hash fragments,"<section id=""features"">...</section>",Use dynamically generated IDs that change across loads,<section id={`sec-${Math.random()}`}>...</section>,MEDIUM
Navigation,Enable full keyboard tab navigation,Ensure interactive elements are natively focusable,<button onClick={handler}>Action</button>,Use non-focusable elements for interactive actions,<div onClick={handler}>Action</div>,HIGH
Navigation,Build accessible dropdown menus,Use aria-haspopup and aria-expanded on trigger,"<button aria-haspopup=""true"" aria-expanded=""false"">Options</button>",Show dropdown only on hover with no keyboard support,"<div class=""dropdown"":hover .menu { display: block; }>",HIGH
Navigation,Make search easily discoverable,Provide a visible search input or toggle button,"<form role=""search""><input type=""search"" aria-label=""Search"" /></form>",Hide search behind an unlabeled icon only,"<span class=""icon-search"" onclick=""openSearch()""></span>",MEDIUM
Navigation,Create helpful 404 pages with navigation options,Offer search and links back to key pages,"<h1>Page not found</h1><a href=""/"">Go home</a><form role=""search"">...</form>",Show a dead-end error with no way to navigate,<h1>404</h1><p>Not found.</p>,LOW
Navigation,Show loading states during navigation,Display a progress bar or skeleton during load,"<div role=""progressbar"" aria-valuenow=""50"">Loading...</div>",Show a blank white screen while content loads,<!-- empty page until JS hydrates -->,MEDIUM
Navigation,Use progress indicators for multi-step flows,Show current step and total steps clearly,"<ol aria-label=""Checkout steps""><li aria-current=""step"">Shipping</li></ol>",Give no indication of progress in a multi-step process,<!-- step 2 of ??? -->,MEDIUM
Navigation,Ensure anchor links scroll to visible area,Offset scroll target to account for sticky headers,html { scroll-padding-top: 80px; },Scroll behind sticky headers hiding the target content,html { scroll-behavior: smooth; } /* no scroll-padding */,MEDIUM
Animation,Respect prefers-reduced-motion user setting,Disable or reduce animations when user prefers,@media (prefers-reduced-motion: reduce) { * { animation: none !important; } },Ignore user motion preferences entirely,/* no prefers-reduced-motion query */,HIGH
Animation,Keep UI animation durations under 400ms,Use 200-300ms for interface transitions,transition: opacity 250ms ease-out;,Use slow animations that delay user interaction,transition: opacity 1500ms ease-out;,MEDIUM
Animation,Use appropriate easing functions,Apply ease-out for entrances and ease-in for exits,transition: transform 300ms ease-out;,Use linear easing which feels mechanical and unnatural,transition: transform 300ms linear;,LOW
Animation,Animate only transform and opacity for performance,Stick to GPU-friendly compositing properties,"transition: transform 200ms, opacity 200ms;",Animate layout properties causing reflows,"transition: width 200ms, height 200ms, top 200ms;",HIGH
Animation,Avoid large-scale motion that causes motion sickness,Use subtle fades and small translations,transform: translateY(8px); opacity: 0;,Use large sweeping rotations and zooms,transform: rotate(720deg) scale(3);,HIGH
Animation,Show meaningful loading animations,Use a spinner with accessible status text,"<div role=""status"" aria-label=""Loading""><span class=""spinner""></span></div>",Use a spinner with no accessible status information,"<div class=""spinner""></div>",MEDIUM
Animation,Use consistent transition timing across the UI,Define shared CSS custom properties for duration,:root { --transition-fast: 150ms; --transition-base: 250ms; },Use random inconsistent durations throughout the app,"/* 100ms here, 800ms there, 350ms elsewhere */",LOW
Animation,Stagger animation delays intentionally,Add incremental delays for sequential reveals,li:nth-child(n) { animation-delay: calc(n * 50ms); },Apply long random delays that confuse users,li { animation-delay: 2s; },LOW
Animation,Optimize keyframes to minimum necessary steps,Use from/to or minimal percentage stops,@keyframes fadeIn { from { opacity: 0; } to { opacity: 1; } },Define many unnecessary keyframe stops,@keyframes fadeIn { 0% { opacity: 0; } 25% { opacity: 0.25; } 50% { opacity: 0.5; } 75% { opacity: 0.75; } 100% { opacity: 1; } },LOW
Animation,Use will-change sparingly and remove after animation,Apply will-change just before animating,el.style.willChange = 'transform'; /* remove after */,Apply will-change to many elements permanently,"* { will-change: transform, opacity; }",MEDIUM
Animation,Leverage GPU acceleration with translateZ hack only when needed,Use transform: translateZ(0) on animated elements only,animation-target { transform: translateZ(0); },Force GPU layers on all elements wasting memory,* { transform: translateZ(0); },MEDIUM
Animation,Allow users to cancel or skip animations,Provide a way to skip long intro animations,<button onClick={() => skipAnimation()}>Skip</button>,Force users to watch unskippable animations,/* 5 second intro with no skip option */,MEDIUM
Animation,Keep hover effects subtle and purposeful,Use gentle color shifts or underlines on hover,.link:hover { text-decoration: underline; color: #0056b3; },Use aggressive pulsing or bouncing on hover,.link:hover { animation: bounce 0.3s infinite; },LOW
Animation,Use scroll animations with Intersection Observer,Trigger animations when elements enter viewport,"const obs = new IntersectionObserver(cb, { threshold: 0.1 });",Use scroll event listeners causing jank,"window.addEventListener('scroll', animateAll);",MEDIUM
Animation,Limit parallax effects and offer opt-out,Use subtle parallax only on non-essential decorations,background-attachment: fixed; /* decorative only */,Apply intense parallax to primary content areas,content.style.transform = `translateY(${scrollY * 0.8}px)`;,MEDIUM
Animation,Design micro-interactions that provide feedback,Animate buttons on press to confirm interaction,button:active { transform: scale(0.97); },Use no feedback leaving users unsure if they clicked,button:active { /* no visual change */ },MEDIUM
Animation,Use skeleton screens instead of blank loading states,Show content placeholders matching layout shape,".skeleton { background: linear-gradient(90deg, #eee 25%, #ddd 50%, #eee 75%); background-size: 200%; animation: shimmer 1.5s infinite; }",Show an empty page until all data loads,"<div id=""content""></div> <!-- empty until fetch resolves -->",MEDIUM
Animation,Fade elements in rather than popping them,Transition opacity from 0 to 1 on appear,.enter { animation: fadeIn 250ms ease-out forwards; },Instantly render elements with display toggle,.show { display: block; } .hide { display: none; },LOW
Animation,Use slide transitions for lateral navigation,Slide panels left/right for related content,.slide-in { transform: translateX(0); transition: transform 300ms ease-out; },Abruptly replace content with no transition,container.innerHTML = newContent;,LOW
Animation,Apply scale animations subtly on interactive elements,Use small scale changes for emphasis on focus,.card:focus-within { transform: scale(1.02); transition: transform 200ms; },Use exaggerated scale that distorts layout,.card:hover { transform: scale(1.5); },LOW
Forms,Always use visible labels above or beside inputs,Associate labels with inputs using for/id,"<label for=""email"">Email</label><input id=""email"" type=""email"" />",Use placeholder text as the only label,"<input type=""email"" placeholder=""Email"" />",HIGH
Forms,Place error messages directly below the invalid field,Show inline error with aria-describedby linkage,"<input aria-describedby=""err1"" /><span id=""err1"" role=""alert"">Required</span>",Show all errors in a banner far from the fields,"<div class=""errors"">Email is required. Name is required.</div>",HIGH
Forms,Validate fields inline on blur not just on submit,Validate when the user leaves the field,"input.addEventListener('blur', () => validateField(input));",Only validate on form submit surprising the user,"form.addEventListener('submit', validateAll);",MEDIUM
Forms,Set autocomplete attributes on common fields,Help browsers autofill user data correctly,"<input type=""email"" name=""email"" autocomplete=""email"" />",Omit autocomplete blocking browser autofill,"<input type=""text"" name=""field1"" />",MEDIUM
Forms,Use correct input types for data,Use type=email for emails and type=tel for phones,"<input type=""tel"" name=""phone"" autocomplete=""tel"" />",Use type=text for all fields losing mobile keyboard benefits,"<input type=""text"" name=""phone"" />",MEDIUM
Forms,Clearly mark required fields,Use aria-required and a visual indicator,"<label>Name <span aria-hidden=""true"">*</span></label><input aria-required=""true"" />",Give no indication of which fields are required,"<input name=""name"" /> <!-- is it required? -->",HIGH
Forms,Provide a password visibility toggle,Add a toggle button inside the password field,"<input type=""password"" id=""pw"" /><button type=""button"" onclick=""togglePw()"">Show</button>",Offer no way to verify typed password,"<input type=""password"" /> <!-- no toggle -->",MEDIUM
Forms,Give clear feedback after form submission,Show a success message and next steps,"<div role=""status"">Form submitted! We will email you shortly.</div>",Silently submit with no user feedback,"fetch('/submit', { method: 'POST', body: data }); /* silence */",HIGH
Forms,Style disabled fields to look non-interactive,Reduce opacity and change cursor on disabled,input:disabled { opacity: 0.5; cursor: not-allowed; },Disable fields with no visual distinction,input:disabled { /* same styles as enabled */ },MEDIUM
Forms,Never use placeholder as a replacement for labels,Use placeholders only for supplementary hints,"<label for=""dob"">Date of birth</label><input id=""dob"" placeholder=""MM/DD/YYYY"" />",Rely on placeholder which vanishes on focus,"<input placeholder=""Date of birth"" />",HIGH
Forms,Group related fields with fieldset and legend,Wrap related inputs semantically,<fieldset><legend>Shipping Address</legend><input />...</fieldset>,Use divs with headings but no semantic grouping,<div><h3>Shipping Address</h3><input />...</div>,MEDIUM
Forms,Provide help text for complex fields,Add descriptive text linked with aria-describedby,"<input aria-describedby=""help1"" /><span id=""help1"">Format: XXX-XXX-XXXX</span>",Expect users to guess the expected format,"<input name=""phone"" /> <!-- no format guidance -->",MEDIUM
Forms,Add character counters for length-limited fields,Show remaining characters below textarea,"<textarea maxlength=""280""></textarea><span>{280 - len} remaining</span>",Silently truncate input at max length,"<textarea maxlength=""280""></textarea> <!-- no counter -->",LOW
Forms,Break long forms into logical multi-step wizards,Use a stepped form with progress indication,"<form><fieldset class=""step active"">Step 1 of 3...</fieldset></form>",Present 20+ fields on a single overwhelming page,<form><!-- 25 fields all at once --></form>,MEDIUM
Forms,Use autofocus only on primary single-purpose pages,Set autofocus on the search input of a search page,"<input type=""search"" autofocus />",Autofocus on forms within complex pages disrupting scroll,<input autofocus /> <!-- on a long dashboard page -->,LOW
Forms,Use input masking for formatted data,Guide users with a mask pattern for phone numbers,"<input inputmode=""numeric"" placeholder=""(___) ___-____"" />",Accept any format and try to parse it later,"<input type=""text"" name=""phone"" /> <!-- any format ok -->",LOW
Forms,Provide clear buttons for search and filter inputs,Add a visible clear/reset button,"<input type=""search"" /><button type=""reset"" aria-label=""Clear search"">✕</button>",Force users to manually select and delete text,"<input type=""text"" /> <!-- no clear option -->",LOW
Forms,Avoid full form reset buttons near submit,Omit reset buttons or place them far from submit,"<button type=""submit"">Submit</button> <!-- no reset nearby -->",Place reset next to submit risking accidental data loss,"<button type=""submit"">Submit</button><button type=""reset"">Reset</button>",MEDIUM
Forms,Show inline success messages after submission,Display a success alert with role=status,"<div role=""status"" class=""success"">Your changes have been saved.</div>",Redirect silently with no confirmation message,window.location.href = '/dashboard'; /* no feedback */,MEDIUM
Forms,Match input widths to expected content length,Size inputs to hint at expected data length,.zip-input { width: 6ch; } .email-input { width: 30ch; },Use full-width inputs for short data like zip codes,.zip-input { width: 100%; },LOW
Accessibility,Meet WCAG contrast ratio of 4.5:1 for normal text,Use dark text on light backgrounds meeting 4.5:1,color: #1a1a1a; background: #ffffff; /* ratio ~17:1 */,Use low-contrast text that fails WCAG AA,color: #aaaaaa; background: #ffffff; /* ratio ~2.3:1 */,HIGH
Accessibility,Add ARIA labels to icon-only buttons,Provide aria-label describing the action,"<button aria-label=""Close dialog""><svg>...</svg></button>",Use icon buttons with no accessible name,<button><svg>...</svg></button>,HIGH
Accessibility,Use semantic HTML elements over generic divs,"Use nav, main, article, section, aside, header, footer",<main><article><h2>Title</h2><p>Content</p></article></main>,Build everything with divs and spans,"<div class=""main""><div class=""article""><div>Title</div></div></div>",HIGH
Accessibility,Ensure all functionality is keyboard accessible,Handle both click and keyboard events,<button onClick={action} onKeyDown={handleKey}>Go</button>,Attach events only to mouse interactions,<div onMouseDown={action}>Go</div>,HIGH
Accessibility,Provide visible focus indicators on interactive elements,Use a clear custom outline on focus,button:focus-visible { outline: 3px solid #4A90D9; outline-offset: 2px; },Remove focus outlines with no replacement,*:focus { outline: none; },HIGH
Accessibility,Write meaningful alt text for informative images,Describe the image content and purpose,"<img src=""chart.png"" alt=""Sales grew 40% from Q1 to Q4 2025"" />",Use empty or generic alt text on informative images,"<img src=""chart.png"" alt=""image"" />",HIGH
Accessibility,Maintain proper heading hierarchy without skipping levels,Use h1 then h2 then h3 in logical order,<h1>Dashboard</h1><h2>Revenue</h2><h3>Monthly Breakdown</h3>,Skip heading levels breaking document outline,<h1>Dashboard</h1><h4>Revenue</h4>,MEDIUM
Accessibility,Include skip navigation as the first focusable element,Visually hide skip link that appears on focus,.skip-link { position: absolute; top: -40px; } .skip-link:focus { top: 0; },Provide no skip navigation mechanism,<!-- no skip link in the page -->,HIGH
Accessibility,Use sr-only class for screen-reader-only text,Hide visually but keep in accessibility tree,".sr-only { position: absolute; width: 1px; height: 1px; overflow: hidden; clip: rect(0,0,0,0); }",Use display:none which hides from screen readers too,.hidden { display: none; },MEDIUM
Accessibility,Never use color as the sole indicator of state,Combine color with icons or text for status,"<span class=""error"">❌ Error: Invalid email</span>",Use only red color to indicate errors,"<span style=""color:red;"">Invalid email</span>",HIGH
Accessibility,Ensure touch targets are at least 44x44 CSS pixels,Set minimum dimensions on interactive elements,button { min-width: 44px; min-height: 44px; },Use tiny tap targets on mobile,button { width: 20px; height: 20px; },HIGH
Accessibility,Explicitly associate labels with form controls,Use htmlFor matching the input id,"<label htmlFor=""name"">Name</label><input id=""name"" />",Use implicit or missing label associations,<label>Name</label><input /> <!-- no for/id link -->,HIGH
Accessibility,Write descriptive link text that makes sense alone,Describe the destination in the link text,"<a href=""/report"">View the Q4 sales report</a>",Use vague generic link text,"<a href=""/report"">Click here</a>",MEDIUM
Accessibility,Set the lang attribute on the html element,Declare the primary language of the page,"<html lang=""en"">",Omit the lang attribute entirely,<html>,MEDIUM
Accessibility,Use ARIA landmark roles to identify page regions,"Define banner, navigation, main, and contentinfo","<header role=""banner"">...<main role=""main"">...<footer role=""contentinfo"">",Use no landmark roles or semantic structure,"<div class=""header"">...<div class=""main"">...<div class=""footer"">",MEDIUM
Accessibility,Use aria-live regions for dynamic content updates,Announce updates to screen readers,"<div aria-live=""polite"" role=""status"">{message}</div>",Update content silently with no live announcement,"<div id=""status"">{message}</div> <!-- not aria-live -->",HIGH
Accessibility,Use buttons for actions and links for navigation,Choose the correct element by purpose,"<button onClick={save}>Save</button><a href=""/home"">Home</a>",Use links styled as buttons for actions,"<a href=""#"" onClick={save}>Save</a>",MEDIUM
Accessibility,Use aria-disabled instead of disabled when focusability is needed,Keep element focusable while marking as inactive,"<button aria-disabled=""true"" tabindex=""0"">Submit</button>",Use disabled attribute removing element from tab order,<button disabled>Submit</button> <!-- unfocusable -->,MEDIUM
Accessibility,Trap focus inside open modal dialogs,Cycle focus within modal boundaries,"dialog.addEventListener('keydown', trapFocus);",Allow focus to escape behind the open modal,"<div class=""modal"">...</div> <!-- no focus trap -->",HIGH
Accessibility,Maintain a logical tab order matching visual layout,Use natural DOM order that matches visual flow,"<!-- DOM order matches visual left-to-right, top-to-bottom -->",Use positive tabindex values creating chaotic order,"<input tabindex=""5"" /><input tabindex=""1"" /><input tabindex=""3"" />",HIGH
Performance,Lazy load images below the fold,Use native loading=lazy on offscreen images,"<img src=""photo.jpg"" loading=""lazy"" alt=""Product photo"" />",Load all images eagerly on page load,"<img src=""photo.jpg"" alt=""Product photo"" />",HIGH
Performance,Serve responsive images with srcset,Provide multiple resolutions for different viewports,"<img srcset=""sm.jpg 480w, md.jpg 800w, lg.jpg 1200w"" sizes=""(max-width: 600px) 480px, 800px"" src=""md.jpg"" alt=""Hero"" />",Serve a single large image to all devices,"<img src=""large-2400px.jpg"" alt=""Hero"" />",HIGH
Performance,Use modern image formats like WebP with fallback,Serve WebP with a JPEG fallback using picture,"<picture><source srcset=""img.webp"" type=""image/webp"" /><img src=""img.jpg"" alt=""Photo"" /></picture>",Serve only unoptimized JPEG or PNG,"<img src=""photo.png"" alt=""Photo"" /> <!-- 2MB PNG -->",MEDIUM
Performance,Split bundles by route for faster initial load,Use dynamic imports for route-based code splitting,const Page = React.lazy(() => import('./Page'));,Bundle the entire app into a single large JS file,import Page from './Page'; /* all in main bundle */,HIGH
Performance,Use dynamic imports for heavy components,Load components only when needed,const Chart = React.lazy(() => import('./HeavyChart'));,Import everything at the top level eagerly,import HeavyChart from './HeavyChart'; /* always loaded */,HIGH
Performance,Enable tree shaking by using ES module imports,Import only the specific functions needed,import { debounce } from 'lodash-es';,Import entire libraries bloating the bundle,import _ from 'lodash';,MEDIUM
Performance,Minify production JavaScript and CSS,Use a build tool to minify assets,// vite.config: build: { minify: 'terser' },Ship unminified code to production,// no minification configured in production build,MEDIUM
Performance,Enable gzip or Brotli compression on the server,Configure server to compress text responses,// nginx: gzip on; gzip_types text/html application/javascript;,Serve uncompressed assets over the network,// no compression configured on server,MEDIUM
Performance,Set proper cache headers for static assets,Use long max-age with hashed filenames,"Cache-Control: public, max-age=31536000, immutable",Use no-cache on all static assets,"Cache-Control: no-store, no-cache",HIGH
Performance,Serve static assets through a CDN,Configure CDN origin for static files,"<script src=""https://cdn.example.com/app.a1b2c3.js""></script>",Serve all assets from a single origin server,"<script src=""/app.js""></script> <!-- single origin -->",MEDIUM
Performance,Preload critical assets like fonts and hero images,Use link rel=preload for critical resources,"<link rel=""preload"" href=""/font.woff2"" as=""font"" type=""font/woff2"" crossorigin />",Let critical resources be discovered late in the waterfall,<!-- font discovered only when CSS is parsed -->,HIGH
Performance,Defer non-critical JavaScript,Use defer or async attributes on non-essential scripts,"<script src=""analytics.js"" defer></script>",Load all scripts synchronously blocking rendering,"<script src=""analytics.js""></script> <!-- render-blocking -->",HIGH
Performance,Eliminate render-blocking CSS where possible,Inline critical CSS and load the rest asynchronously,"<style>/* critical CSS inlined */</style><link rel=""preload"" href=""styles.css"" as=""style"" />",Load large CSS files synchronously in the head,"<link rel=""stylesheet"" href=""all-styles.css"" /> <!-- 500KB -->",MEDIUM
Performance,Optimize web font loading to avoid FOIT,Use font-display swap to show fallback text immediately,@font-face { font-family: 'Custom'; src: url('f.woff2'); font-display: swap; },Block text rendering until custom font loads,@font-face { font-family: 'Custom'; src: url('f.woff2'); font-display: block; },MEDIUM
Performance,Keep DOM size under 1500 nodes where possible,Virtualize long lists and simplify markup,"<div style=""height: 600px; overflow: auto;"">/* virtual list */</div>",Render thousands of DOM nodes at once,items.map(i => <div key={i.id}>{i.name}</div>) /* 5000 nodes */,MEDIUM
Performance,Debounce or throttle expensive event handlers,Debounce search input to limit API calls,"const debouncedSearch = debounce(search, 300); input.addEventListener('input', debouncedSearch);",Fire API calls on every keystroke,"input.addEventListener('input', () => fetch('/search?q=' + input.value));",HIGH
Performance,Use virtual scrolling for large data sets,Render only visible rows in long lists,import { FixedSizeList } from 'react-window'; <FixedSizeList height={600} itemCount={10000} itemSize={35}>{Row}</FixedSizeList>,Render all 10000 rows into the DOM,items.map(item => <Row key={item.id} data={item} />) /* all 10k */,HIGH
Performance,Register service workers for offline caching,Cache critical assets with a service worker,navigator.serviceWorker.register('/sw.js');,Provide no offline support or caching strategy,<!-- no service worker registered -->,LOW
Performance,Use resource hints like prefetch and preconnect,Preconnect to required third-party origins,"<link rel=""preconnect"" href=""https://api.example.com"" />",Make cold connections to third-party origins on demand,fetch('https://api.example.com/data'); /* cold connection */,MEDIUM
Performance,Optimize for Lighthouse performance score,Set performance budgets and audit regularly,"/* Budget: FCP < 1.8s, LCP < 2.5s, CLS < 0.1, TBT < 200ms */",Ignore performance metrics until users complain,/* no performance monitoring or budgets set */,HIGH
